A,B,C,D,E,F,G,H,I,J,K,L,M
9.555000000000144,-0.0012949488992282723,-0.00028354412929764566,0.00019795912719155692,0.0002579673731570764,0.0006455947405601739,-0.00015834268911433668,0.04165003666232479,-0.021438089517563406,-0.024934614821259735,-0.0030515820093038938,-0.000933919249154746,0.0005937088445499345
9.556000000000143,-0.00129189801800398,-0.0002826084818005302,0.0001973595030575724,0.00025649874617490135,0.000648420560313165,-0.00017056516241972016,0.041646985781100494,-0.02143902516506052,-0.02493401519712575,-0.0030501133823217187,-0.0009367450689077372,0.000605931317855318
9.557000000000142,-0.00128884880657755,-0.0002816719005121551,0.00019674648076696555,0.0002549789063675924,0.0006478405692651131,-0.0001858381006530007,0.041643936569674064,-0.021439961746348896,-0.024933402174835143,-0.0030485935425144097,-0.0009361650778596853,0.0006212042560885986
9.558000000000142,-0.0012858002627750068,-0.0002807366565047674,0.0001961149125599207,0.0002542962472179898,0.0006452409596462219,-0.00020750351237420334,0.04164088802587152,-0.021440896990356284,-0.0249327706066281,-0.003047910883364807,-0.0009335654682407939,0.0006428696678098012
9.559000000000141,-0.0012827541511691992,-0.00027980628451302475,0.00019545886641171573,0.0002505885369467552,0.0006393492874768876,-0.00023233961345020516,0.041637841914265714,-0.021441827362348027,-0.024932114560479893,-0.0030442031730935726,-0.0009276737960714597,0.000667705768885803
9.56000000000014,-0.00127971207473912,-0.00027888031835098664,0.00019478253474157492,0.0002456259671683907,0.0006366871408408311,-0.0002486712644112325,0.041634799837835634,-0.021442753328510065,-0.024931438228809753,-0.003039240603315208,-0.0009250116494354032,0.0006840374198468303
9.56100000000014,-0.0012766770881300557,-0.0002779547549713046,0.0001940926318751146,0.0002364164802251506,0.0006368954234748606,-0.0002615145374172146,0.04163176485122657,-0.021443678891889747,-0.024930748325943292,-0.003030031116371968,-0.0009252199320694327,0.0006968806928528124
9.56200000000014,-0.0012736534155032356,-0.0002770316688425513,0.00019338654859630405,0.0002235323092827828,0.0006322521863144017,-0.0002795223613675991,0.04162874117859975,-0.0214446019780185,-0.024930042242664482,-0.0030171469454296,-0.0009205766949089737,0.0007148885168031969
9.56300000000014,-0.0012706431286228642,-0.0002761143528425443,0.0001926636495374369,0.00020974346100217185,0.0006252647217817216,-0.00029553509739650697,0.04162573089171938,-0.021445519294018507,-0.024929319343605615,-0.003003358097148989,-0.0009135892303762936,0.0007309012528321048
9.564000000000139,-0.0012676468367452745,-0.00027520542253126404,0.00019192476278684367,0.0001959488594074823,0.000614678794348985,-0.00031173384909908154,0.04162273459984179,-0.021446428224329787,-0.02492858045685502,-0.0029895634955542996,-0.0009030033029435571,0.0007471000045346794
9.565000000000138,-0.0012646633259567122,-0.0002743108824151408,0.0001911689940160173,0.00018512340804866445,0.0005968975309703919,-0.00032875302305350473,0.04161975108905323,-0.02144732276444591,-0.024927824688084195,-0.0029787380441954818,-0.0008852220395649639,0.0007641191784891026
9.566000000000138,-0.0012616868007316803,-0.00027343668823160555,0.0001903971611471357,0.0001811807191110528,0.0005747953301849253,-0.00034331586274695663,0.041616774563828195,-0.021448196958629446,-0.024927052855215313,-0.00297479535525787,-0.0008631198387794974,0.0007786820181825545
9.567000000000137,-0.0012587127693474282,-0.00027258473571504377,0.0001896133590618479,0.0001797231324980413,0.0005532268512645252,-0.00035213756796663074,0.04161380053244394,-0.021449048911146008,-0.024926269053130026,-0.0029733377686448586,-0.0008415513598590972,0.0007875037234022286
9.568000000000136,-0.0012557399844836115,-0.00027175205318086953,0.00018882499055831656,0.00017859879449322628,0.0005352820755710375,-0.0003528490419628011,0.041610827747580126,-0.021449881593680182,-0.024925480684626494,-0.0029722134306400436,-0.0008236065841656095,0.0007882151973983989
9.569000000000136,-0.0012527683795428499,-0.0002709379367953693,0.0001880389648395847,0.00017726649441322882,0.0005165242397101903,-0.0003478911598835214,0.041607856142639364,-0.021450695710065682,-0.024924694658907762,-0.002970881130560046,-0.0008048487483047624,0.0007832573153191192
9.570000000000135,-0.0012497984528631462,-0.00027014191056132925,0.00018725963377716828,0.00017599355472107002,0.0004984702278484946,-0.0003386014438580919,0.04160488621595966,-0.021451491736299722,-0.024923915327845346,-0.0029696081908678874,-0.0007867947364430667,0.0007739675992936897
9.571000000000135,-0.001246827891237083,-0.00026936516528915447,0.00018649390406145008,0.0001773701947024994,0.0004789073129660495,-0.00032226667203037545,0.0416019156543336,-0.021452268481571897,-0.024923149598129628,-0.0029709848308493167,-0.0007672318215606216,0.0007576328274659733
9.572000000000134,-0.0012438575436622482,-0.0002686063748908972,0.00018574408613159302,0.00017578794462296161,0.0004621585144886044,-0.0003064499351851862,0.04159894530675876,-0.021453027271970154,-0.02492239978019977,-0.002969402580769779,-0.0007504830230831765,0.0007418160906207841
9.573000000000134,-0.0012408897015516243,-0.0002678639311467293,0.00018501064576346982,0.00017361435801847456,0.00044544173849687014,-0.0002887305220671616,0.04159597746464814,-0.021453769715714322,-0.024921666339831648,-0.002967228994165292,-0.0007337662470914422,0.0007240966775027594
9.574000000000133,-0.001237921190966558,-0.0002671401188330466,0.0001842978287128344,0.00017573878523154248,0.0004256513440597822,-0.00026687973050858746,0.04159300895406307,-0.021454493528028005,-0.024920953522781012,-0.00296935342137836,-0.0007139758526543543,0.0007022458859441853
9.575000000000133,-0.0012349518722180458,-0.0002664357444966542,0.0001836047370672271,0.00017618196711188675,0.0004066641524079066,-0.0002483781543550454,0.04159003963531456,-0.021455197902364397,-0.024920260431135405,-0.002969796603258704,-0.0006949886610024787,0.0006837443097906432
9.576000000000132,-0.0012319805727048355,-0.0002657497098293056,0.0001829307262842146,0.00017941566531351136,0.00038840638172536545,-0.00022800094622196657,0.04158706833580135,-0.021455883937031746,-0.024919586420352392,-0.0029730303014603287,-0.0006767308903199375,0.0006633671016575644
9.577000000000131,-0.0012290053558585354,-0.00026508298228276883,0.00018227982317307184,0.00018339010910195215,0.0003687063067298822,-0.00020368539074619766,0.04158409311895505,-0.021456550664578283,-0.02491893551724125,-0.0029770047452487695,-0.0006570308153244543,0.0006390515461817955
9.57800000000013,-0.0012260273605061225,-0.0002644350349735036,0.00018165139834073335,0.00018424126335116024,0.0003506911851733215,-0.00018334111276029693,0.04158111512360264,-0.021457198611887548,-0.02491830709240891,-0.0029778558994979776,-0.0006390156937678936,0.0006187072681958948
9.57900000000013,-0.0012230519041796784,-0.00026380464711409785,0.00018104059033726902,0.00017991950838665413,0.0003332000224860033,-0.00016807330963985046,0.04157813966727619,-0.021457828999746954,-0.024917696284405447,-0.0029735341445334715,-0.0006215245310805754,0.0006034394650754483
9.58000000000013,-0.0012200793374347804,-0.00026319245689926385,0.00018044345795789618,0.00017825100108869027,0.00031463595200934886,-0.00015631659668759407,0.041575167100531295,-0.021458441189961788,-0.024917099152026074,-0.0029718656372355076,-0.0006029604606039209,0.0005916827521231919
9.58100000000013,-0.0012171076403212563,-0.0002625985170688558,0.00017985550991610894,0.00017762234639023648,0.0002977565791374089,-0.00014883584738378385,0.04157219540341777,-0.021459035129792196,-0.024916511203984287,-0.002971236982537054,-0.000586081087731981,0.0005842020028193817
9.582000000000129,-0.0012141374466842492,-0.00026201797094876217,0.00017927507660951691,0.00017487941827183315,0.000287138075098975,-0.0001430293571884376,0.041569225209780764,-0.02145961567591229,-0.024915930770677695,-0.0029684940544186505,-0.0005754625836935471,0.0005783955126240354
9.583000000000128,-0.0012111719646865152,-0.00026144668903899104,0.0001786952570863344,0.00016888362936013767,0.0002787901581977607,-0.00014539780934994548,0.04156625972778303,-0.02146018695782206,-0.024915350951154512,-0.002962498265506955,-0.0005671146667923328,0.0005807639647855433
9.584000000000128,-0.0012082123935043126,-0.0002608837147532947,0.00017811450781785726,0.00016348596565690914,0.0002696540952801481,-0.00014511106409547476,0.04156330015660083,-0.021460749932107757,-0.024914770201886035,-0.0029571006018037265,-0.0005579786038747202,0.0005804772195310726
9.585000000000127,-0.0012052568504771072,-0.0002603324424326897,0.00017753481735255025,0.0001603024092781567,0.0002560236769055954,-0.00014456085566975333,0.04156034461357362,-0.02146130120442836,-0.024914190511420728,-0.002953917045424974,-0.0005443481855001675,0.0005799270111053512
9.586000000000126,-0.0012023046962278197,-0.00025979545408596344,0.00017695260719560735,0.00015615062592769973,0.00024230294675660612,-0.00014965909034805143,0.041557392459324334,-0.021461838192775088,-0.024913608301263785,-0.002949765262074517,-0.0005306274553511782,0.0005850252457836493
9.587000000000126,-0.0011993585723350866,-0.0002592691896271884,0.00017636370297497914,0.0001488317845448864,0.00023349469423893733,-0.00015807086759313618,0.0415544463354316,-0.021462364457233863,-0.024913019397043157,-0.0029424464206917037,-0.0005218192028335094,0.000593437023028734
9.588000000000125,-0.0011964198755918462,-0.0002587519801990276,0.0001757644254944367,0.00014116501541253752,0.00022452230022972807,-0.00016861943441557866,0.04155150763868836,-0.021462881666662024,-0.024912420119562614,-0.002934779651559355,-0.0005128468088243001,0.0006039855898511765
9.589000000000125,-0.00119348934786042,-0.00025824300169887196,0.00017515799649169342,0.00013354958522892755,0.00021783852393703849,-0.00017376857871701586,0.041548577110956934,-0.02146339064516218,-0.02491181369055987,-0.002927164221375745,-0.0005061630325316106,0.0006091347341526137
9.590000000000124,-0.0011905637703289312,-0.00025773754845188207,0.00017454563138909196,0.00013045678463009802,0.00021659439452061574,-0.0001800061695443004,0.041545651533425446,-0.02146389609840917,-0.02491120132545727,-0.0029240714207769154,-0.0005049189031151878,0.0006153723249798982
9.591000000000124,-0.0011876410438605295,-0.0002572328130093053,0.00017392769813387096,0.00012781249752813993,0.00021569525778872002,-0.0001864203096240679,0.041542728806957044,-0.021464400833851746,-0.02491058339220205,-0.0029214271336749573,-0.0005040197663832921,0.0006217864650596657
9.592000000000123,-0.0011847208248262908,-0.00025673057335042285,0.00017329947389977882,0.0001262777558831969,0.00021217167753426988,-0.00019807478374057842,0.041539808587922805,-0.02146490307351063,-0.024909955167967957,-0.0029198923920300142,-0.000500496186128842,0.0006334409391761763
9.593000000000123,-0.0011817994961620254,-0.0002562317473675489,0.00017266325838342575,0.0001293020245651962,0.00020943872543177639,-0.000203508531733117,0.04153688725925854,-0.021465401899493503,-0.024909318952451603,-0.0029229166607120135,-0.0004977632340263485,0.0006388746871687148
9.594000000000122,-0.0011788746880564624,-0.0002557338319735536,0.00017202195533816064,0.00013242438783396928,0.00021060699198895003,-0.00020805624641903446,0.04153396245115298,-0.021465899814887498,-0.02490867764940634,-0.0029260390239807866,-0.0004989315005835221,0.0006434224018546323
9.595000000000121,-0.0011759487391669182,-0.0002552321564731376,0.00017137703158272288,0.00013164640400187104,0.00021581868953178578,-0.00021182905541489475,0.04153103650226343,-0.021466401490387914,-0.0249080327256509,-0.0029252610401486884,-0.0005041431981263579,0.0006471952108504926
9.59600000000012,-0.0011730253614060729,-0.0002547260981815361,0.00017072602471280077,0.00012854426872386604,0.0002194578250408026,-0.00021951631458028706,0.04152811312450259,-0.021466907548679515,-0.02490738171878098,-0.0029221589048706834,-0.0005077823336353747,0.0006548824700158849
9.59700000000012,-0.0011701030925105188,-0.00025421697390874687,0.00017006713876064825,0.00012924077404753188,0.00022212096405304255,-0.00022778032900959303,0.04152519085560703,-0.021467416672952305,-0.024906722832828826,-0.0029228554101943492,-0.0005104454726476146,0.0006631464844451909
9.59800000000012,-0.0011671786975377615,-0.0002537052487148368,0.00016939921764359822,0.000132117134681288,0.00022434074775994306,-0.00023659883597515518,0.041522266460634276,-0.021467928398146215,-0.024906054911711776,-0.0029257317708281053,-0.0005126652563545151,0.000671964991410753
9.59900000000012,-0.0011642520344978396,-0.00025319232271368147,0.0001687246702943221,0.00013321746044145724,0.00022450711175275444,-0.00024078144319430832,0.041519339797594354,-0.02146844132414737,-0.0249053803643625,-0.0029268320965882746,-0.0005128316203473265,0.0006761475986299062
9.600000000000119,-0.0011613265577694251,-0.0002526802957253625,0.00016804888666337517,0.0001307956592155493,0.00022281796490279036,-0.00024101422238016908,0.04151641432086594,-0.02146895335113569,-0.024904704580731553,-0.0029244102953623666,-0.0005111424734973624,0.0006763803778157669
9.601000000000118,-0.0011584026360368926,-0.0002521701975322678,0.00016736998810957734,0.00012959743505223898,0.00022078960461128708,-0.0002464528186349584,0.04151349039913341,-0.021469463449328784,-0.024904025682177755,-0.0029232120711990563,-0.0005091141132058591,0.0006818189740705563
9.602000000000118,-0.0011554805758240277,-0.0002516619470979177,0.00016668444422665574,0.0001275068762294591,0.000219331647503299,-0.000254579209573668,0.04151056833892054,-0.021469971699763134,-0.024903340138294833,-0.0029211215123762764,-0.0005076561560978711,0.0006899453650092658
9.603000000000117,-0.0011525599666964426,-0.0002511543464188623,0.00016598874423308027,0.00012667179866006828,0.00021937180348596065,-0.00026632023783001904,0.04150764772979296,-0.02147047930044219,-0.024902644438301258,-0.0029202864348068856,-0.0005076963120805327,0.0007016863932656169
9.604000000000116,-0.0011496396235703768,-0.00025064625225361403,0.00016528060789788163,0.00012841625986003856,0.00021922947385138292,-0.0002785967158380856,0.04150472738666689,-0.021470987394607437,-0.02490193630196606,-0.002922030896006856,-0.000507553982445955,0.0007139628712736835
9.605000000000116,-0.001146712642747079,-0.00025014111452590845,0.0001645620653022567,0.00013817396380032612,0.00021461986269154303,-0.00028736872516844133,0.04150180040584359,-0.021471492532335143,-0.024901217759370434,-0.0029317885999471435,-0.0005029443712861151,0.0007227348806040392
